종목코드,기업,현재가,시총(억),네이버업종,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
240810,원익IPS,110300.0,54140.0,,컨센서스 없음 → 산출불가,2,"K신재생에너지,코스닥",3.35,반도체,전공정 장비,원익IPS,,보류,컨센서스 없음,,2026-09-13
310210,보로노이,145100.0,26878.0,,컨센서스 없음 → 산출불가,2,"K바이오,코스닥",3.17,바이오·헬스케어,신약·플랫폼,보로노이,,보류,컨센서스 없음,,2026-09-13
004370,농심,414500.0,25213.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,K컬처",3.12,소비재·식품,음식료,농심,,보류,컨센서스 없음,,2026-09-13
012450,한화에어로스페이스,1081000.0,557400.0,,컨센서스 없음 → 산출불가,2,"코리아밸류업,코스피",3.12,조선·방산·우주,방산,한화에어로스페이스,,보류,컨센서스 없음,,2026-09-13
257720,실리콘투,43500.0,28526.0,,컨센서스 없음 → 산출불가,2,"K컬처,코스닥",3.03,화장품·뷰티,유통,실리콘투,,보류,컨센서스 없음,,2026-09-13
032830,삼성생명,307500.0,615000.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코스피",2.58,금융,보험,삼성생명,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
012330,현대모비스,415500.0,373205.0,,컨센서스 없음 → 산출불가,2,"K신재생에너지,코리아밸류업",2.44,자동차,부품,현대모비스,,보류,컨센서스 없음,,2026-09-13
347850,디앤디파마텍,47550.0,21796.0,,컨센서스 없음 → 산출불가,2,"K바이오,코스닥",2.38,바이오·헬스케어,신약·플랫폼,디앤디파마텍,,보류,컨센서스 없음,,2026-09-13
001040,CJ,128300.0,37434.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,K컬처",2.05,지주·소재,지주,CJ,,보류,컨센서스 없음,,2026-09-13
078600,대주전자재료,85000.0,13349.0,,컨센서스 없음 → 산출불가,2,"K신재생에너지,코스닥",2.01,2차전지·에너지,소재,대주전자재료,,보류,컨센서스 없음,,2026-09-13
031980,피에스케이홀딩스,157000.0,33853.0,,컨센서스 없음 → 산출불가,2,"코리아밸류업,코스닥",1.89,반도체,후공정 장비,피에스케이홀딩스,,보류,컨센서스 없음,,2026-09-13
006800,미래에셋증권,33450.0,181641.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코리아밸류업",1.77,금융,증권,미래에셋증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-13
058470,리노공업,66400.0,50605.0,,컨센서스 없음 → 산출불가,2,"코리아밸류업,코스닥",1.74,반도체,테스트·후공정,리노공업,,보류,컨센서스 없음,,2026-09-13
006260,LS,319500.0,99684.0,,컨센서스 없음 → 산출불가,2,"K신재생에너지,코스피",1.64,AI·전력인프라,전선·케이블,LS,,보류,컨센서스 없음,,2026-09-13
319660,피에스케이,123000.0,35629.0,,컨센서스 없음 → 산출불가,2,"코리아밸류업,코스닥",1.64,반도체,전공정 장비,피에스케이,,보류,컨센서스 없음,,2026-09-13
028300,HLB,31450.0,41891.0,,컨센서스 없음 → 산출불가,2,"K바이오,코스닥",1.6,바이오·헬스케어,신약·플랫폼,HLB,,보류,컨센서스 없음,,2026-09-13
000150,두산,1356000.0,219588.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코스피",1.27,반도체,기판·PCB,두산,,보류,컨센서스 없음,,2026-09-13
079550,LIG디펜스앤에어로스페이스,678000.0,149160.0,,컨센서스 없음 → 산출불가,2,"코리아밸류업,코스피",1.23,조선·방산·우주,방산,LIG디펜스앤에어로스페이스,,보류,컨센서스 없음,,2026-09-13
192820,코스맥스,270500.0,30700.0,,컨센서스 없음 → 산출불가,2,"코리아밸류업,코스피",1.22,화장품·뷰티,ODM,코스맥스,,보류,컨센서스 없음,,2026-09-13
491000,리브스메드,32550.0,8221.0,,컨센서스 없음 → 산출불가,2,"K바이오,코스닥",1.14,바이오·헬스케어,미용의료·의료기기,리브스메드,,보류,컨센서스 없음,,2026-09-13
000270,기아,126600.0,494263.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코리아밸류업",1.06,자동차,완성차,기아,,보류,컨센서스 없음,,2026-09-13
028260,삼성물산,367000.0,595155.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코스피",1.02,지주·소재,지주,삼성물산,,보류,컨센서스 없음,,2026-09-13
086280,현대글로비스,208500.0,156375.0,,컨센서스 없음 → 산출불가,2,"코리아밸류업,코스피",0.96,미분류,-,현대글로비스,,보류,컨센서스 없음,,2026-09-13
290650,엘앤씨바이오,47450.0,12797.0,,컨센서스 없음 → 산출불가,2,"K컬처,코스닥",0.93,바이오·헬스케어,미용의료·의료기기,엘앤씨바이오,,보류,컨센서스 없음,,2026-09-13
003490,대한항공,28950.0,106600.0,,컨센서스 없음 → 산출불가,2,"Korea플러스배당,코스피",0.79,미분류,-,대한항공,,보류,컨센서스 없음,,2026-09-13
112610,씨에스윈드,52800.0,22267.0,,컨센서스 없음 → 산출불가,1,K신재생에너지,8.01,2차전지·에너지,풍력,씨에스윈드,,보류,컨센서스 없음,,2026-09-13
006730,서부T&D,11190.0,7193.0,,컨센서스 없음 → 산출불가,1,K컬처,6.97,지주·소재,부동산,서부T&D,,보류,컨센서스 없음,,2026-09-13
009420,한올바이오파마,50100.0,26173.0,,컨센서스 없음 → 산출불가,1,K바이오,6.35,바이오·헬스케어,신약·플랫폼,한올바이오파마,,보류,컨센서스 없음,,2026-09-13
