종목코드,종목명,보유ETF수,보유ETF,최대비중
017670,SK텔레콤,2,"Korea플러스배당,코스피",3.12
004370,농심,2,"Korea플러스배당,K컬처",3.05
031980,피에스케이홀딩스,2,"코리아밸류업,코스닥",2.76
032830,삼성생명,2,"Korea플러스배당,코스피",2.48
012330,현대모비스,2,"K신재생에너지,코리아밸류업",2.41
347850,디앤디파마텍,2,"K바이오,코스닥",2.34
001040,CJ,2,"Korea플러스배당,K컬처",2.09
078600,대주전자재료,2,"K신재생에너지,코스닥",2.07
329180,HD현대중공업,2,"코리아밸류업,코스피",1.77
028300,HLB,2,"K바이오,코스닥",1.69
006260,LS,2,"K신재생에너지,코스피",1.61
161890,한국콜마,2,"K컬처,코스피",1.46
192820,코스맥스,2,"코리아밸류업,코스피",1.33
175330,JB금융지주,2,"Korea플러스배당,코리아밸류업",1.32
079550,LIG디펜스앤에어로스페이스,2,"코리아밸류업,코스피",1.28
319660,피에스케이,2,"코리아밸류업,코스닥",1.2
000270,기아,2,"Korea플러스배당,코리아밸류업",1.06
491000,리브스메드,2,"K바이오,코스닥",1.06
086280,현대글로비스,2,"코리아밸류업,코스피",1.02
028260,삼성물산,2,"Korea플러스배당,코스피",0.99
000150,두산,2,"Korea플러스배당,코스피",0.92
058470,리노공업,2,"코리아밸류업,코스닥",0.92
290650,엘앤씨바이오,2,"K컬처,코스닥",0.88
003490,대한항공,2,"Korea플러스배당,코스피",0.83
112610,씨에스윈드,1,K신재생에너지,8.63
009830,한화솔루션,1,K신재생에너지,8.31
178320,서진시스템,1,K이노베이션,8.02
006730,서부T&D,1,K컬처,7.09
336260,두산퓨얼셀,1,K신재생에너지,6.51
009420,한올바이오파마,1,K바이오,6.03
263750,펄어비스,1,K컬처,5.96
122870,와이지엔터테인먼트,1,K컬처,5.67
041510,에스엠,1,K컬처,5.36
058610,에스피지,1,코스닥,5.09
022100,포스코DX,1,K신재생에너지,5.06
036930,주성엔지니어링,1,코스닥,4.77
475830,오름테라퓨틱,1,K바이오,4.75
108490,로보티즈,1,코스닥,4.46
352820,하이브,1,K컬처,4.35
068760,셀트리온제약,1,K바이오,4.3
403870,HPSP,1,코스닥,4.27
039030,이오테크닉스,1,코스닥,4.05
119850,지엔씨에너지,1,코스닥,3.99
100090,SK오션플랜트,1,K신재생에너지,3.95
035900,JYP Ent.,1,K컬처,3.94
237690,에스티팜,1,K바이오,3.86
000880,한화,1,K신재생에너지,3.34
277810,레인보우로보틱스,1,코스닥,3.22
071050,한국금융지주,1,Korea플러스배당,3.02
086520,에코프로,1,코스닥,2.97
064290,인텍플러스,1,코스닥,2.9
039490,키움증권,1,Korea플러스배당,2.86
020150,롯데에너지머티리얼즈,1,K신재생에너지,2.64
456160,지투지바이오,1,K바이오,2.37
214150,클래시스,1,K컬처,2.19
024110,기업은행,1,Korea플러스배당,2.18
458870,씨어스,1,K바이오,2.18
222800,심텍,1,코스닥,2.07
000100,유한양행,1,K바이오,2.06
035760,CJ ENM,1,K컬처,2.02
095340,ISC,1,코스닥,2.0
080220,제주반도체,1,코스닥,1.89
161580,필옵틱스,1,코스닥,1.88
462870,시프트업,1,K컬처,1.86
138930,BNK금융지주,1,Korea플러스배당,1.83
039200,오스코텍,1,K바이오,1.8
067310,하나마이크론,1,코스닥,1.76
084370,유진테크,1,코스닥,1.74
006800,미래에셋증권,1,Korea플러스배당,1.71
034020,두산에너빌리티,1,코스피,1.57
006360,GS건설,1,코스피,1.55
089970,브이엠,1,코스닥,1.55
016360,삼성증권,1,Korea플러스배당,1.54
131970,두산테스나,1,코스닥,1.54
003530,한화투자증권,1,Korea플러스배당,1.51
005940,NH투자증권,1,Korea플러스배당,1.49
059090,미코,1,코스닥,1.44
051910,LG화학,1,K신재생에너지,1.41
247540,에코프로비엠,1,코스닥,1.41
267260,HD현대일렉트릭,1,코리아밸류업,1.39
010140,삼성중공업,1,K신재생에너지,1.38
140860,파크시스템스,1,코스닥,1.33
950260,인제니아테라퓨틱스(Reg.S),1,K바이오,1.29
003470,유안타증권,1,Korea플러스배당,1.26
356860,티엘비,1,코스닥,1.25
389470,인벤티지랩,1,K바이오,1.21
253450,스튜디오드래곤,1,K컬처,1.18
082920,비츠로셀,1,코스닥,1.07
483650,달바글로벌,1,K컬처,1.01
100790,미래에셋벤처투자,1,코스닥,0.98
088350,한화생명,1,코스피,0.97
171090,선익시스템,1,코스닥,0.94
267250,HD현대,1,코리아밸류업,0.93
124500,아이티센글로벌,1,코스닥,0.92
393890,더블유씨피,1,코스닥,0.91
005387,현대차2우B,1,Korea플러스배당,0.89
417200,LS머트리얼즈,1,코스닥,0.85
033790,피노,1,코스닥,0.83
420770,기가비스,1,코스닥,0.82
397030,에이프릴바이오,1,K바이오,0.77
000990,DB하이텍,1,코리아밸류업,0.74
295310,에이치브이엠,1,코스닥,0.72
011070,LG이노텍,1,코리아밸류업,0.67
440110,파두,1,코스닥,0.66
138080,오이솔루션,1,코스닥,0.65
327260,RF머트리얼즈,1,코스닥,0.64
452280,한선엔지니어링,1,코스닥,0.63
099320,쎄트렉아이,1,코스닥,0.6
001820,삼화콘덴서,1,코스피,0.58
010170,대한광통신,1,코스닥,0.58
080580,오킨스전자,1,코스닥,0.58
347700,스피어,1,코스닥,0.55
375500,DL이앤씨,1,코스피,0.55
189300,인텔리안테크,1,코스닥,0.53
448900,한국피아이엠,1,코스닥,0.49
139130,iM금융지주,1,Korea플러스배당,0.44
089010,켐트로닉스,1,코스닥,0.4
443060,HD현대마린솔루션,1,코리아밸류업,0.39
042700,한미반도체,1,코리아밸류업,0.31
052690,한전기술,1,코리아밸류업,0.3
460860,동국제강,1,코리아밸류업,0.18
011780,금호석유화학,1,코리아밸류업,0.15
