종목코드,종목명,보유ETF수,보유ETF,최대비중
VLO,Valero Energy Corp,1,미국S&P500,0.98
PSKY,Paramount Skydance Corp,1,글로벌소비트렌드,0.97
CRWD,Crowdstrike Holdings Inc,1,미국S&P500,0.95
TKO,TKO Group Holdings Inc,1,글로벌소비트렌드,0.93
LIN,Linde PLC,1,미국S&P500,0.89
SBUX,Starbucks Corp,1,미국S&P500,0.88
MTCH,Match Group Inc,1,글로벌소비트렌드,0.84
GEV,GE Vernova Inc,1,미국나스닥100,0.83
BAC,Bank of America Corp,1,미국S&P500,0.82
ETN,Eaton Corp PLC,1,미국S&P500,0.8
MS,Morgan Stanley,1,미국S&P500,0.79
MSGS,Madison Square Garden Sports Corp,1,글로벌소비트렌드,0.76
XYZ,Block Inc,1,글로벌소비트렌드,0.75
ACHR,Archer Aviation Inc,1,글로벌우주테크&방산,0.74
EXPE,Expedia Group Inc,1,글로벌소비트렌드,0.73
UNH,UnitedHealth Group Inc,1,미국S&P500,0.73
JOYY,JOYY Inc,1,글로벌소비트렌드,0.72
SNAP,Snap Inc,1,글로벌소비트렌드,0.71
SPHR,Sphere Entertainment Co,1,글로벌소비트렌드,0.71
M,Macys Inc,1,글로벌소비트렌드,0.7
ETSY,Etsy Inc,1,글로벌소비트렌드,0.69
WMG,Warner Music Group Corp,1,글로벌소비트렌드,0.68
CSCO,Cisco Systems Inc,1,미국S&P500,0.67
RUM,RUM Group Inc,1,글로벌소비트렌드,0.63
GS,Goldman Sachs Group Inc/The,1,미국S&P500,0.62
GRND,Grindr Inc,1,글로벌소비트렌드,0.56
TAL,TAL Education Group,1,글로벌소비트렌드,0.56
LRN,Stride Inc,1,글로벌소비트렌드,0.52
CEG,Constellation Energy Corp,1,미국S&P500,0.51
VZ,Verizon Communications Inc,1,미국S&P500,0.49
FSLR,First Solar Inc,1,미국S&P500,0.48
MSGE,Madison Square Garden Entertainment Corp,1,글로벌소비트렌드,0.48
WFC,Wells Fargo & Co,1,미국S&P500,0.47
FCX,Freeport-McMoRan Inc,1,미국S&P500,0.44
LOPE,Grand Canyon Education Inc,1,글로벌소비트렌드,0.42
CHWY,Chewy Inc,1,글로벌소비트렌드,0.4
ASO,Academy Sports & Outdoors Inc,1,글로벌소비트렌드,0.39
CVNA,Carvana Co,1,글로벌소비트렌드,0.38
T,AT&T Inc,1,미국S&P500,0.38
PLTK,Playtika Holding Corp,1,글로벌소비트렌드,0.27
