종목코드,기업,현재가,시총(억),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,비고,탈락조건,1차결과,보유ETF수,보유ETF,최대비중,기준일
316140,우리금융지주,31750.0,,,,7.22,,,,,,,,8.58,,19.18471753564819,4.86,2026.12(E),,ROE<15%,통과,2,"Korea플러스배당,코리아밸류업",3.28,2026-08-22
012330,현대모비스,496000.0,,,,10.86,,,,,,,5.817028840653697,8.08,6.405794682753552,12.673119880863748,1.74,2026.12(E),,ROE<15%,통과,2,"K신재생에너지,코리아밸류업",3.02,2026-08-22
039490,키움증권,268000.0,,,,3.85,,,,,,,5.9494395642373386,25.18,126.4576531536004,55.006047574250786,3.97,2026.12(E),,,통과,2,"Korea플러스배당,코리아밸류업",2.89,2026-08-22
080220,제주반도체,73500.0,,,,,,,,,,,,,,,,2026.12(E),,,통과,2,"K이노베이션,코스닥",2.75,2026-08-22
290650,엘앤씨바이오,51000.0,,,,57.91,,,,,,,22.867737948084056,10.62,89.23976608187134,740.9090909090909,0.08,2026.12(E),,ROE<15%,통과,2,"K컬처,코스닥",2.74,2026-08-22
032830,삼성생명,328500.0,,,,22.63,,,,,,,,2.93,,22.5072660337144,3.36,2026.12(E),,ROE<15%,통과,2,"Korea플러스배당,코스피",2.54,2026-08-22
078600,대주전자재료,82900.0,,,,76.89,,,,,,,10.091743119266056,6.4,54.124116260801244,91.30434782608697,0.16,2026.12(E),,ROE<15%,통과,2,"K신재생에너지,코스닥",2.04,2026-08-22
006800,미래에셋증권,34500.0,,,,6.93,,,,,,,8.186201049864271,23.39,99.39384625892156,149.584878074252,1.28,2026.12(E),,,통과,2,"Korea플러스배당,코리아밸류업",1.89,2026-08-22
476830,알지노믹스,30150.0,8459.0,,,,,,,,,,,,,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,2,"K바이오,코스닥",1.86,2026-08-22
028300,HLB,38650.0,,,,,,,,,,,,,,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,2,"K바이오,코스닥",1.77,2026-08-22
006260,LS,293500.0,,,,14.1,,,,,,,4.870534714036609,12.34,28.839661123313466,89.99619988599659,1.25,2026.12(E),,ROE<15%,통과,2,"K신재생에너지,코스피",1.62,2026-08-22
079550,LIG디펜스앤에어로스페이스,695000.0,,,,42.47,,,,,,,8.74775197435296,22.68,18.77684645568738,40.10644959298686,0.7,2026.12(E),,,통과,2,"코리아밸류업,코스피",1.43,2026-08-22
028260,삼성물산,395500.0,,,,23.92,,,,,,,8.35458804733181,4.98,11.532759644790902,15.297476235308416,1.17,2026.12(E),,ROE<15%,통과,2,"Korea플러스배당,코스피",1.37,2026-08-22
192820,코스맥스,271000.0,,,,18.12,,,,,,,8.638434283786063,27.28,23.540937135234287,30.745658835546475,2.02,2026.12(E),,,통과,2,"코리아밸류업,코스피",1.23,2026-08-22
000810,삼성화재,661000.0,,,,13.58,,,,,,,,8.2,,19.100447519837548,3.92,2026.12(E),,ROE<15%,통과,2,"Korea플러스배당,코스피",1.22,2026-08-22
329180,HD현대중공업,453000.0,,,,14.58,,,,,,,16.240069898252944,31.14,41.26992252824135,97.95828220858895,1.11,2026.12(E),,,통과,2,"코리아밸류업,코스피",1.2,2026-08-22
000150,두산,1078000.0,,,,47.52,,,,,,,8.298080796982017,24.8,10.403809119444407,70.55613061070858,0.51,2026.12(E),,,통과,2,"Korea플러스배당,코스피",1.15,2026-08-22
356860,티엘비,31100.0,7371.0,2.027227722772277,16.790432801822323,15.77,0.41297115882693347,0.15371522987583816,0.3985698189838337,0.05596810933940775,0.5888177977033853,0.10318626751468456,14.96149614961496,24.91,40.657640232108314,109.23076923076924,0.72,2026.12(E),,,통과,2,"K이노베이션,코스닥",1.11,2026-08-22
491000,리브스메드,33450.0,8448.0,11.086614173228346,,-41.67,,,,,,,-29.92125984251969,,48.828125,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,2,"K바이오,코스닥",1.1,2026-08-22
058470,리노공업,65700.0,,,,26.23,,,,,,,48.73029772329247,24.01,22.630872483221488,25.762711864406775,1.33,2026.12(E),,,통과,2,"코리아밸류업,코스닥",0.93,2026-08-22
112610,씨에스윈드,46550.0,,,,10.54,,,,,,,10.669147591630388,15.21,-2.8380406603902286,-5.120199812675619,2.4,2026.12(E),,,통과,1,K신재생에너지,8.04,2026-08-22
241710,코스메카코리아,137300.0,,,,19.86,,,,,,,13.570581257413997,25.87,31.533780621001718,37.0059880239521,0.56,2026.12(E),,,통과,1,K컬처,5.66,2026-08-22
263750,펄어비스,32200.0,,,,5.93,,,,,,,49.98155208461444,35.68,122.40153172866522,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,1,K컬처,5.16,2026-08-22
128940,한미약품,415500.0,,,,25.87,,,,,,,17.714217755842302,15.25,8.672051696284333,15.554693560899914,0.44,2026.12(E),,,통과,1,K바이오,5.02,2026-08-22
336260,두산퓨얼셀,37000.0,,,,-33.68,,,,,,,-14.32865731462926,-27.78,9.718557607739676,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,1,K신재생에너지,5.01,2026-08-22
036930,주성엔지니어링,168600.0,,,,160.34,,,,,,,15.980560320182963,7.97,12.584486643064041,78.59424920127796,0.19,2026.12(E),,ROE<15%,통과,1,코스닥,4.89,2026-08-22
022100,포스코DX,19510.0,,,,,,,,,,,,,,,0.43,2026.12(E),,,통과,1,K신재생에너지,4.66,2026-08-22
222800,심텍,99700.0,,,,20.02,,,,,,,11.83334940688591,28.16,47.01545441656032,1962.18487394958,0.2,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,1,코스닥,4.49,2026-08-22
119850,지엔씨에너지,48250.0,7937.0,2.59633627739614,16.364948453608246,19.03,0.9970847944124195,,1.0085275437837569,1.0365210489968422,0.7281407801194376,0.2875313953052185,13.902518809290154,,16.412795125666403,-13.967611336032393,0.49,2026.12(E),,,통과,1,코스닥,4.48,2026-08-22
095610,테스,132900.0,,,,24.05,,,,,,,21.96921779464474,24.24,35.08971802905154,80.27681660899655,1.91,2026.12(E),,,통과,1,코스닥,4.44,2026-08-22
041510,에스엠,71300.0,,,,13.42,,,,,,,14.970249900833002,11.66,7.285726444803808,3.1147540983606614,1.2,2026.12(E),,ROE<15%,통과,1,K컬처,4.42,2026-08-22
