종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),EPS(FY2),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,PEG(영익)fwd,영익증가율fwd,fwd기준,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
HOOD,Robinhood,106.52,899.08,4930.0,97220.0,23.62,7.01,13.77,,2.4,45.75,2.46,,FY 2026,FY 2025,5160.0,2260.0,1880.0,2281.7311303041683,2.5,3.25,43.017699115044245,42.608,2.7602573913043456,5.238277647058817,2.078958444731862,2.3868516742627026,,1.4202666666666663,30.000000000000004,eps,43.798449612403104,46.75615212527964,15.436241610738266,8.133971291866038,119.93,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Robinhood Markets Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.81,5.238277647058817,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-24
DELL,Dell Technologies,436.0,646.14,134000.0,285650.0,,23.97,11.17,0.57,,23.22,0.9,,FY 2027,FY 2026,172410.0,15840.0,10990.0,12238.399082568807,18.68,22.36,18.033459595959595,23.340471092077088,0.45015748051544635,0.28585520775689915,0.7492319308729711,0.49305103898145175,,1.1847826086956526,19.700214132762305,eps,9.187402122846702,7.6801127355997885,51.84956843403206,81.65137614678899,508.78,USD,,,AI·전력인프라,Stock Lists Top Analysts Top Stocks Corporate Actions,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.65,0.28585520775689915,탈락,"ROE<10,이익률<10",,2026-08-24
PLTR,Palantir,178.69,2400.0,6160.0,432410.0,38.1,363.8,12.84,,0.02,94.54,1.76,,FY 2026,FY 2025,8189.999999999999,4940.0,3860.0,3871.822709720746,1.6,2.31,87.53238866396761,111.68124999999999,1.3486037735849061,0.4460922450424929,1.7211831753108124,1.479235809124458,,2.516760563380282,44.374999999999986,eps,60.31746031746032,31.473214285714285,82.81249999999997,250.354609929078,191.68,USD,,,소프트웨어,Stock Lists Top Analysts Top Stocks Corporate Actions,Palantir Technologies Inc,4,"글로벌우주테크&방산,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.19,2.516760563380282,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과(fwd),2026-08-24
ARM,Arm Holdings,243.32,1070.0,5160.0,259880.0,13.35,14.16,25.7,,0.06,101.94,3.15,,FY 2027,FY 2026,6050.0,2700.0,1350.0,2381.77050797304,2.23,3.06,96.25185185185185,109.11210762331838,4.750721854041826,0.5528671524663678,3.7395155205532236,3.465597686259405,,2.9315662650602414,37.21973094170403,eps,44.62809917355372,18.455284552845526,22.967479674796753,197.35682819383257,285.72,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,ARM Holdings PLC,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.66,2.9315662650602414,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과(fwd),2026-08-24
TSM,TSMC,414.5,25930.0,139570.0,1930000.0,39.97,53.96,10.99,0.77,0.17,19.06,,,FY 2026,FY 2025,171004.68468468467,100276.64414414414,87074.07657657657,501194.69240048254,107.64,142.13,19.246754979411687,3.8507989594946115,0.09000947261149982,0.05976439985135635,0.10047696908317945,0.08286558815075393,,0.1201797622499275,32.04199182460052,eps,58.63970588235294,50.91863517060368,42.78215223097113,64.43298969072167,554.45,TWD,31.812,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Taiwan Semiconductor Manufacturing Co Ltd,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.55,0.05976439985135635,통과,,비지배괴리,2026-08-24
TER,Teradyne,375.74,156.34,4460.0,58740.0,36.46,38.24,14.1,0.14,0.03,38.53,1.05,,FY 2026,FY 2025,5140.0,1670.0,1400.0,1421.0533879810505,9.09,11.55,35.17365269461078,41.33553355335534,0.6762069335138643,0.28677084512207934,1.042857796852923,0.5839794595878566,,1.5273983739837391,27.06270627062708,eps,32.490272373540854,21.44294670846395,61.12852664576802,144.14133883016825,449.8,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Teradyne Inc,3,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국나스닥100",6.63,0.28677084512207934,탈락,fPER>30,,2026-08-24
MU,Micron Technology,966.78,1130.0,90270.0,1090000.0,66.64,67.64,16.34,0.06,0.06,6.72,0.04,,FY 2026,FY 2025,129740.00000000001,98130.0,82630.0,82710.027100271,73.36,154.81,11.10771425659839,13.178571428571429,0.053336401039411,0.014637883346273292,0.08607665503899553,0.039678025455302156,,0.11869613259668509,111.0278080697928,eps,75.63588715893324,26.243980738362758,247.08400214018192,900.3058103975535,1515.0,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Micron Technology Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",4.01,0.11869613259668509,통과,,"기저효과(fwd),비지배괴리",2026-08-24
STX,Seagate Technology,850.0,226.64,12200.0,192650.0,371.53,85.92,15.62,0.35,1.8,23.76,0.35,,FY 2027,FY 2026,18780.0,9880.0,8420.0,8109.431764705882,35.78,55.37,19.498987854251013,23.756288429290105,0.44046613805066764,0.17785681425822505,0.5465718100401857,0.26837711594655206,,0.4338948443083207,54.751257685858,eps,52.609158679446224,34.67213114754099,53.93442622950819,133.56973995271866,1125.0,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Seagate Technology Holdings PLC,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",3.98,0.17785681425822505,통과,,,2026-08-24
WDC,Western Digital,459.44,360.54,12920.0,165650.0,130.85,52.9,16.42,0.13,0.13,22.87,0.33,,FY 2027,FY 2026,19190.0,9400.0,7750.0,7243.401749956468,20.09,31.75,17.622340425531913,22.869089099054257,0.47124183598051195,0.22197878936817864,0.5376041726479571,0.2998948799874941,,0.3940308747855918,58.038825286212045,eps,48.98384575299635,35.8359133126935,48.529411764705884,103.02375809935205,664.92,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Western Digital Corp,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",3.72,0.22197878936817864,통과,,,2026-08-24
AAOI,Applied Optoelectronics,124.82,84.57,595.97,10560.0,-5.45,-5.58,24.41,,0.18,54.24,,,FY 2026,FY 2025,1040.0,47.9,2.8,57.529242108636446,0.68,4.6,220.45929018789144,183.55882352941174,1.431701017642629,,1.2963456342837887,,,0.3184183673469388,576.470588235294,eps,4.605769230769231,-11.98104099008163,128.2103045729834,,163.4,USD,,기저효과→PEG(영익)fwd 기준,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Applied Optoelectronics Inc,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",3.34,0.3184183673469388,탈락,"PEG매출>1,ROE<10,이익률<10,fPER>30,전년이익률<5","기저효과(fwd),비지배괴리",2026-08-24
NBIS,Nebius Group,219.13,274.1,1360.0,60060.0,0.6,-4.1,10.65,,0.99,,,,FY 2026,FY 2025,3350.0,-955.79,-609.1,,-2.05,-3.0,,,,,,,,,,,-28.5310447761194,-115.45866364665913,532.314080785202,,274.57,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Nebius Group NV,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",3.12,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-24
AVGO,Broadcom,364.65,4760.0,75470.0,1750000.0,37.28,24.22,12.08,0.71,0.74,23.35,0.49,,FY 2026,FY 2025,106040.0,70890.0,44160.0,55813.794049088174,11.63,19.53,24.68613344618423,31.354256233877898,0.4752606004228847,0.1857169220322013,0.4836815964054209,0.45294680462705145,,0.46158227848101263,67.92777300085984,eps,66.85213127121841,41.27406479887306,65.97276569103146,168.82821387940842,526.3,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Broadcom Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",2.79,0.46158227848101263,탈락,fPER>30,"기저효과(fwd),비지배괴리",2026-08-24
TSEM,Tower Semiconductor,222.59,113.03,1710.0,25160.0,9.98,14.84,9.17,,0.05,43.81,1.01,,FY 2026,FY 2025,1970.0,437.13,402.18,436.3071117300867,3.86,6.51,57.55724841580308,57.66580310880829,2.263382772020726,0.4608564780061452,1.8375625050319997,0.8405371533065645,,0.8399622641509434,68.65284974093264,eps,22.18934010152284,12.367515923566879,25.47770700636942,125.12746562290778,321.32,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Tower Semiconductor Ltd,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",2.73,0.4608564780061452,탈락,"PEG매출>1,ROE<10,fPER>30",비지배괴리,2026-08-24
BE,Bloom Energy,201.45,294.53,3110.0,59330.0,22.21,22.93,24.24,,1.72,57.83,,,FY 2026,FY 2025,4130.0,651.4,653.23,798.1350210970464,2.71,4.89,91.08074915566472,74.33579335793358,0.7116507231423025,,0.8948506028893357,0.4837760238078006,,0.9240825688073394,80.44280442804428,eps,15.772397094430993,4.379702970297029,104.45544554455446,636.2947891940771,275.08,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Bloom Energy Corp,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",2.04,0.9240825688073394,탈락,"fPER>30,전년이익률<5",기저효과(fwd),2026-08-24
MRVL,Marvell Technology,237.04,876.93,8720.0,207870.0,16.03,6.87,16.28,0.1,0.29,51.97,1.4,,FY 2027,FY 2026,11550.0,4280.0,1670.0,3551.6094330070873,4.05,6.25,48.5677570093458,58.528395061728396,1.4266296296296292,,1.3581236969427866,1.2105722972498183,,1.0774545454545454,54.32098765432099,eps,37.056277056277054,16.361416361416364,41.025641025641036,219.40298507462686,263.94,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Stocks Corporate Actions,Marvell Technology Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.95,1.0774545454545454,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과(fwd),2026-08-24
CRWV,CoreWeave,87.85,551.54,7590.0,48450.0,-43.6,-0.34,,,10.27,,,-4.01,FY 2026,FY 2025,12890.0,1040.0,-2870.0,,-3.94,-1.87,46.58653846153846,,,,,,,,,,8.068269976726144,-0.3313840155945419,151.2670565302144,,144.17,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,CoreWeave Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.61,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-24
VRT,Vertiv Holdings Co,261.95,384.99,11480.0,100850.0,43.94,37.58,15.21,0.1,0.7,33.52,0.89,,FY 2026,FY 2025,14020.0,3320.0,2320.0,2583.3307883183816,6.71,9.1,30.376506024096386,39.03874813710879,1.0537371858644407,0.5223494469049768,1.175906394465883,0.8271619669862849,,1.0960251046025107,35.618479880774956,eps,23.680456490727533,18.57282502443793,37.04789833822091,74.73684210526316,338.15,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Vertiv Holdings Co,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.61,0.5223494469049768,탈락,"PEG매출>1,fPER>30",,2026-08-24
COST,Costco,947.73,443.48,293590.0,420300.0,29.15,38.44,8.83,0.62,0.25,43.25,4.0,-4.71,FY 2026,FY 2025,301570.0,11650.0,9150.0,9126.833591845778,20.58,22.66,36.07725321888412,46.05102040816327,4.813931962454563,3.7638550538325597,5.207750557925376,3.9866221232941674,,4.556394230769228,10.106899902818277,eps,3.8631163577278906,3.7712541781717777,9.566196773724744,12.235067437379566,1077.0,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Costco Wholesale Corp,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.23,3.7638550538325597,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30,전년이익률<5",,2026-08-24
AMAT,Applied Materials,492.32,793.6,30840.0,390700.0,41.07,35.64,12.97,0.43,0.29,27.91,0.94,,FY 2026,FY 2025,34180.0,11340.0,10570.0,10150.0101559961,12.79,18.34,34.45326278659612,38.49257232212666,1.8795770684659783,1.1574974927961055,1.417493994226065,0.9737035505082946,,0.8870630630630627,43.393275996872575,eps,33.17729666471621,29.996475149806134,20.47937962636588,33.254994124559346,641.03,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Applied Materials Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.13,1.1574974927961055,탈락,"PEG매출>1,PEG영익>1,fPER>30",비지배괴리,2026-08-24
GEV,GE Vernova,956.85,266.33,41370.0,254840.0,82.58,41.4,9.79,0.21,0.28,44.68,1.16,,FY 2026,FY 2025,46210.0,4680.0,8380.0,4040.2600198568216,15.17,25.14,54.452991452991455,63.07514831905076,2.9499642463221902,0.531420540955782,3.5883460491294534,2.765888917660139,,0.9597291875626881,65.72181938035597,eps,10.127677991776672,5.621224060940373,21.381665353296555,118.69158878504673,1239.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,GE Vernova Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.06,0.531420540955782,탈락,"PEG매출>1,fPER>30",비지배괴리,2026-08-24
LRCX,Lam Research,306.38,1250.0,23230.0,392910.0,65.07,70.07,14.39,0.33,0.33,33.19,1.24,,FY 2027,FY 2026,34760.0,13820.0,11760.0,12131.759905999086,9.46,11.56,28.430535455861072,32.38689217758985,0.652513014124382,0.4725489605982861,1.0249554905958171,0.7911875080523102,,1.4589523809523819,22.19873150105707,eps,39.758342922899885,35.29918209212226,49.63409384416701,68.53658536585365,368.94,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Lam Research Corp,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",0.54,0.4725489605982861,탈락,fPER>30,,2026-08-24
RTX,RTX Corporation,209.91,1350.0,93500.0,282910.0,12.27,9.4,5.59,1.39,0.57,28.46,2.62,,FY 2026,FY 2025,96140.0,12830.0,8290.0,9757.840979467392,7.24,7.86,22.05066250974279,28.993093922651934,3.4068807978076396,1.2160666114926073,3.6655838371663236,2.4600392120259293,,3.3856451612903204,8.563535911602216,eps,13.345121697524442,11.693002257336344,8.510158013544022,23.841698841698843,232.27,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,RTX Corp,2,"글로벌우주테크&방산,미국S&P500",9.12,1.2160666114926073,탈락,"PEG매출>1,PEG영익>1",,2026-08-24
JNJ,Johnson & Johnson,270.23,2410.0,97930.0,651250.0,25.74,19.92,5.26,1.98,0.58,24.06,2.96,,FY 2026,FY 2025,101120.0,32310.000000000004,21970.0,26630.32416830108,11.05,12.31,20.156298359640974,24.4552036199095,3.323860936449171,1.0767650690839743,3.277598033006929,3.5902440761766594,,2.1446825396825386,11.4027149321267,eps,31.952136075949372,27.95413525852001,7.357468945747958,22.71173566274214,272.5,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Johnson & Johnson,2,"글로벌바이오,미국S&P500",6.52,1.0767650690839743,탈락,"PEG매출>1,PEG영익>1",,2026-08-24
MRK,Merck & Co.,152.26,2470.0,66570.0,376370.0,6.96,14.05,4.95,2.23,1.28,17.7,2.59,,FY 2026,FY 2025,67140.0,12020.0,3260.0,6797.6980165506375,2.75,9.54,31.31198003327787,55.36727272727273,16.898715492957816,,13.931504702630235,18.029725300193718,,0.2242415316642121,246.90909090909088,eps,17.90288948465892,37.640363021073675,3.276419012459608,-50.87862689006948,147.77,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Merck & Co Inc,2,"글로벌바이오,미국S&P500",5.95,,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30",비지배괴리,2026-08-24
SKHY,SK hynix,157.8,711.08,122160.0,878810.0,92.68,61.59,17.3,,0.08,4.05,,,FY 2026,FY 2025,225573.34461066764,174422.0330919279,164980.89971982874,1260842.2989413573,226.3981005825448,0.29425726700851085,5.03841162966395,0.6970023140386997,0.002685349572051859,0.0014763102537470056,0.0052387713860900745,,,,-99.87002661848692,eps,77.3238670521886,48.59495625321667,259.5573854863613,472.12454988349936,245.43,KRW,1548.543,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,SK hynix Inc,2,"글로벌AI인공지능,미국나스닥100",4.54,,탈락,FY2역성장,"기저효과(fwd),비지배괴리",2026-08-24
ABT,Abbott Laboratories,116.66,1730.0,46590.0,201830.0,10.58,7.51,6.65,2.16,0.63,20.11,2.33,-11.93,FY 2026,FY 2025,50300.0,11720.0,6230.0,9549.987999314248,5.52,6.06,17.22098976109215,21.134057971014492,1.5693011555361354,0.6732707039337473,1.9157914017204651,2.4934708459388926,,2.1603703703703707,9.782608695652172,eps,23.30019880715706,20.121813670200766,13.46717798330701,31.390134529147986,119.4,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Abbott Laboratories,2,"글로벌바이오,미국S&P500",3.63,0.6732707039337473,탈락,PEG매출>1,,2026-08-24
HSAI,Hesai Group,18.48,156.44,491.29,2990.0,7.49,-0.47,11.53,,0.08,26.0,,-26.28,FY 2026,FY 2025,632.4991017964072,51.947298323353294,71.15026523952096,64.71861471861473,0.4,0.72,57.55833501462045,46.199999999999996,1.1022519685039367,,1.0999062674006193,1.9435814851806459,,0.5775,79.99999999999999,eps,8.213023255813953,-0.7237623762376239,41.91419141914192,,28.31,CNY,6.798,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Stocks Corporate Actions,Hesai Group,2,"글로벌휴머노이드로봇,차이나AI테크",3.43,0.5775,탈락,"PEG매출>1,ROE<10,이익률<10,fPER>30,전년이익률<5","기저효과(fwd),비지배괴리",2026-08-24
