종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
MSGS,Madison Square Garden Sports,406.15,24.08,1150.0,9780.0,,1.5,6.73,,,,,,FY 2027,FY 2026,1080.0,-3.6,-23.48,,-0.56,,,,,,,,-0.33333333333333337,2.672173913043478,-6.086956521739129,,480.67,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Madison Square Garden Sports Corp,1,글로벌소비트렌드,0.75,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
M,Macy's,22.81,263.04,22720.0,6000.0,14.36,7.48,7.26,3.36,1.06,10.09,,,FY 2027,FY 2026,21810.0,926.55,638.2,589.2152564664622,2.24,6.475635421725757,10.183035714285714,,1.8023253928211023,,23.675448775171812,,4.2482806052269595,3.87709991158267,-3.5809018567639295,5.649942987457246,22.95,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Macys Inc,1,글로벌소비트렌드,0.74,1.8023253928211023,탈락,"PEG매출>1,PEG영익>1,이익률<10,전년이익률<5",,2026-08-23
MTCH,Match Group,40.86,229.55,3510.0,9380.0,,25.77,9.31,1.96,,13.55,0.74,,FY 2026,FY 2025,3480.0,983.25,680.1,922.8487518355358,4.02,9.539791507754895,10.164179104477613,,3.6954437349725358,5.507738568515661,0.49523790233314124,,28.254310344827587,27.419197707736387,-0.2865329512893977,2.7504624162687064,41.81,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Match Group Inc,1,글로벌소비트렌드,0.74,3.6954437349725358,탈락,"PEG매출>1,PEG영익>1,ROE<10",,2026-08-23
GS,The Goldman Sachs Group,1039.21,302.77,67570.0,314660.0,16.9,2.14,2.94,1.92,7.25,14.9,1.03,,FY 2026,FY 2025,72130.0,28830.0,21570.0,21413.14575494847,70.72,10.914325355532432,14.694711538461538,0.6856762493202009,0.49689564092822064,1.3006675392017542,0.7309037566675672,,39.969499514765005,37.45791245791246,21.430976430976422,29.57303370786517,1142.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Goldman Sachs Group Inc/The,1,미국S&P500,0.67,0.49689564092822064,통과,,,2026-08-23
JOYY,JOYY Inc.,73.61,50.38,2190.0,3710.0,3.26,1.01,6.73,8.15,0.01,12.51,1.23,,FY 2026,FY 2025,2330.0,171.77,210.59,272.6681157451433,5.41,21.59864935669791,13.606284658040664,1.373586832145057,0.08160982881417703,1.346774485833754,1.428133687616871,,7.372103004291845,3.0377358490566038,9.905660377358494,166.72360248447205,81.08,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,JOYY Inc,1,글로벌소비트렌드,0.67,1.428133687616871,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,전년이익률<5",기저효과,2026-08-23
SNAP,Snap Inc.,5.24,1690.0,6350.0,8860.0,-15.58,-3.26,7.57,,2.19,7.3,0.2,-26.82,FY 2026,FY 2025,6680.0,-88.36,-104.84,1031.4122137404581,0.61,,8.59016393442623,0.6791956284153006,,0.6852233734805386,0.19852433732032276,,-1.322754491017964,-8.974198988195615,12.647554806070826,,7.38,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Stocks Corporate Actions,Snap Inc,1,글로벌소비트렌드,0.64,0.19852433732032276,탈락,"ROE<10,이익률<10,전년이익률<5",기저효과,2026-08-23
WMG,Warner Music Group,27.13,523.11,7300.0,14190.0,70.07,18.11,9.16,2.95,4.53,16.43,0.41,-16.37,FY 2026,FY 2025,7330.0,1220.0,769.47,931.0062661260598,1.78,11.631147540983607,15.241573033707864,1.6495315331641895,0.7330470840021402,2.02145743642581,0.5629810914914013,,16.64392905866303,15.052160953800298,9.239940387481372,20.79207920792079,36.88,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Warner Music Group Corp,1,글로벌소비트렌드,0.64,0.7330470840021402,탈락,PEG매출>1,,2026-08-23
ENTG,Entegris,143.66,152.8,3330.0,21950.0,7.67,7.01,10.75,0.28,0.86,32.07,1.16,,FY 2026,FY 2025,3570.0,880.32,412.0,598.9419462620075,3.92,24.93411486732097,36.64795918367347,3.1695532266960815,0.45085754407154033,3.03312896022296,1.0438223558360755,,24.658823529411766,15.174999999999999,11.562500000000009,81.28500823723228,173.36,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Entegris Inc,1,미국S&P500,0.6,0.45085754407154033,탈락,"PEG매출>1,ROE<10,fPER>30",,2026-08-23
RUM,RUM Group,9.03,400.02,117.66,3620.0,-18.41,-6.62,9.29,,0.35,,,,FY 2026,FY 2025,243.73,-216.44,-205.26,80.17718715393136,0.2,,45.14999999999999,0.3174476276989728,,0.3327395390184677,,,-88.80318385098265,-112.00556549393758,142.22818525144106,,,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,RUM Group Inc,1,글로벌소비트렌드,0.58,,탈락,"PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
TAL,TAL Education Group,11.32,554.65,3190.0,6280.0,23.71,23.94,4.77,,0.1,12.66,0.58,,FY 2027,FY 2026,3740.0,526.19,810.91,732.2968197879858,1.32,11.934852429730704,8.575757575757576,0.35360315483603166,0.09463330486556551,0.40231270823859583,0.9844223924693482,,14.069251336898397,9.17076411960133,24.252491694352152,90.62092450369512,16.01,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,TAL Education Group,1,글로벌소비트렌드,0.57,0.09463330486556551,통과,,비지배괴리,2026-08-23
