종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
ALAB,Astera Labs,290.28,173.49,1200.0,22.75,50360.0,25.83,62.97,25.37,,0.03,51.73,0.99,,FY 2026,FY 2025,1910.0,759.07,588.06,699.1552983326445,4.03,66.34434241901273,72.02977667493795,0.5807024833677065,0.2132912809863867,0.8312916542629176,0.8341104646610632,,39.74188481675393,20.341806153449145,124.0390367494399,337.7061469265368,389.95,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Astera Labs Inc,2,"나스닥100채권혼합50,미국나스닥100",0.87,0.8341104646610632,탈락,fPER>30,"기저효과(2y),비지배괴리",2026-08-27
CSCO,Cisco Systems,112.3,3940.0,63330.0,25.4,442860.0,27.32,20.65,9.41,1.5,0.59,21.84,1.5,,FY 2027,FY 2026,73020.0,25550.0,16010.000000000002,20230.38112199466,5.13,17.33307240704501,21.89083820662768,1.4306984351142744,0.37232937288016843,2.090177902818821,1.6565610796655452,,34.99041358531909,25.406600347386703,15.300805305542386,58.794282162834065,137.74,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Cisco Systems Inc,2,"나스닥100채권혼합50,미국S&P500",0.7,0.37232937288016843,탈락,PEG매출>1,,2026-08-27
SIMO,Silicon Motion Technology,263.05,33.91,1310.0,16.31,8920.0,31.57,19.24,13.57,0.76,0.07,18.62,0.35,,FY 2026,FY 2025,1870.0,472.0,428.29,377.75632009123746,11.14,18.89830508474576,23.61310592459605,0.212445269563274,0.05797348995209036,0.3597119615232413,0.21190266480248307,,25.240641711229944,10.50551584747581,111.14912548129578,407.3086844368014,369.7,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Silicon Motion Technology Corp,2,"나스닥100채권혼합50,미국나스닥100",0.52,0.21190266480248307,통과,,기저효과(2y),2026-08-27
RTX,RTX Corporation,210.7,1350.0,93500.0,12.29,285710.0,12.27,9.4,5.59,1.38,0.57,28.74,2.64,,FY 2026,FY 2025,96140.0,12830.0,8290.0,9817.46748932131,7.24,22.268901013250193,29.10220994475138,3.419702653985373,1.220643299706981,3.6793793268112256,2.469297613138313,,13.345121697524442,11.693002257336344,8.510158013544022,23.841698841698843,234.82,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,RTX Corp,1,글로벌우주테크&방산,9.15,1.220643299706981,탈락,"PEG매출>1,PEG영익>1",,2026-08-27
GE,GE Aerospace,353.56,1040.0,50640.0,20.24,367700.0,48.23,31.03,11.35,0.53,1.13,42.22,2.44,,FY 2026,FY 2025,50290.0,10910.0,9030.0,8226.34630614323,7.91,33.70302474793767,44.69785082174462,4.627186091840201,2.963186194336637,4.387490857317548,2.3050294131979494,,21.694173792006364,20.671609245529872,9.659834278238112,15.084388185654007,404.9,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,General Electric Co,1,글로벌우주테크&방산,8.51,2.963186194336637,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-27
MRNA,Moderna,149.66,399.24,2230.0,-109.34,59750.0,-39.0,-75.99,9.05,,0.19,,,,FY 2026,FY 2025,2110.0,-3500.0,-3380.0,,-8.62,,,,,,,,-165.87677725118485,-158.24742268041237,8.762886597938135,,99.82,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Moderna Inc,1,글로벌바이오,6.43,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-27
TMO,Thermo Fisher,633.7,369.75,46340.0,18.99,234310.0,13.52,8.84,8.03,0.3,0.81,24.14,2.67,,FY 2026,FY 2025,47860.0,11230.0,7440.0,9288.097206880228,25.12,20.864648263579696,25.226910828025478,3.4063974136267143,0.7348326638407422,4.025466018224607,2.6071216622543383,,23.464270789803592,18.761220825852785,7.405745062836622,34.33014354066985,631.42,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Thermo Fisher Scientific Inc,1,글로벌바이오,5.26,0.7348326638407422,탈락,PEG매출>1,,2026-08-27
MOG-A,Moog Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,실패: 404,미분류,,Moog Inc,1,글로벌우주테크&방산,5.25,,보류,컨센서스 없음,,2026-08-27
HWM,Howmet Aerospace,269.33,398.8,9120.0,27.32,107410.0,34.73,22.99,10.58,0.21,0.81,46.17,1.52,,FY 2026,FY 2025,10100.0,2960.0,2210.0,2125.6276686592655,5.33,36.28716216216216,50.530956848030016,2.253407535114853,1.254356693521686,2.8293282846627172,1.6569758820849019,,29.306930693069305,25.575757575757574,22.424242424242415,40.28436018957346,337.13,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Howmet Aerospace Inc,1,글로벌우주테크&방산,4.8,1.254356693521686,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-27
GD,General Dynamics,382.01,270.15,54860.0,10.38,103200.0,17.8,14.6,5.8,1.67,0.35,21.77,2.31,,FY 2026,FY 2025,55920.0,5880.0,4660.0,4592.549933247821,17.0,17.551020408163264,22.471176470588233,3.5040365683365375,2.6476907928388758,4.05209691479435,2.347091966719966,,10.515021459227468,10.313986679352997,6.412940057088479,8.487084870848705,420.02,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,General Dynamics Corp,1,글로벌우주테크&방산,4.72,2.6476907928388758,탈락,"PEG매출>1,PEG영익>1",,2026-08-27
