종목코드,기업,비고,보유ETF수,보유ETF,최대비중,기준일
138930,BNK금융지주,실패: Financial Highlight 표 없음,1,Korea플러스배당,1.61,2026-08-22
161580,필옵틱스,실패: Financial Highlight 표 없음,1,코스닥,1.61,2026-08-22
440110,파두,실패: Financial Highlight 표 없음,1,코스닥,1.54,2026-08-22
192080,더블유게임즈,실패: Financial Highlight 표 없음,1,K이노베이션,1.53,2026-08-22
267260,HD현대일렉트릭,실패: Financial Highlight 표 없음,1,코리아밸류업,1.52,2026-08-22
005940,NH투자증권,실패: Financial Highlight 표 없음,1,Korea플러스배당,1.51,2026-08-22
003530,한화투자증권,실패: Financial Highlight 표 없음,1,Korea플러스배당,1.49,2026-08-22
397030,에이프릴바이오,실패: Financial Highlight 표 없음,1,K바이오,1.49,2026-08-22
064290,인텍플러스,실패: Financial Highlight 표 없음,1,코스닥,1.43,2026-08-22
031980,피에스케이홀딩스,실패: Financial Highlight 표 없음,1,코스닥,1.42,2026-08-22
006360,GS건설,실패: Financial Highlight 표 없음,1,코스피,1.41,2026-08-22
171090,선익시스템,실패: Financial Highlight 표 없음,1,코스닥,1.41,2026-08-22
458870,씨어스,실패: Financial Highlight 표 없음,1,K바이오,1.37,2026-08-22
010140,삼성중공업,실패: Financial Highlight 표 없음,1,K신재생에너지,1.35,2026-08-22
140860,파크시스템스,실패: Financial Highlight 표 없음,1,코스닥,1.33,2026-08-22
247540,에코프로비엠,실패: Financial Highlight 표 없음,1,코스닥,1.32,2026-08-22
082920,비츠로셀,실패: Financial Highlight 표 없음,1,코스닥,1.31,2026-08-22
010060,OCI홀딩스,실패: Financial Highlight 표 없음,1,K신재생에너지,1.28,2026-08-22
319660,피에스케이,실패: Financial Highlight 표 없음,1,코스닥,1.26,2026-08-22
389470,인벤티지랩,실패: Financial Highlight 표 없음,1,K바이오,1.24,2026-08-22
138080,오이솔루션,실패: Financial Highlight 표 없음,1,코스닥,1.2,2026-08-22
003470,유안타증권,실패: Financial Highlight 표 없음,1,Korea플러스배당,1.19,2026-08-22
253450,스튜디오드래곤,실패: Financial Highlight 표 없음,1,K컬처,1.14,2026-08-22
103590,일진전기,실패: Financial Highlight 표 없음,1,K신재생에너지,1.11,2026-08-22
078930,GS,실패: Financial Highlight 표 없음,1,코리아밸류업,1.1,2026-08-22
028050,삼성E&A,실패: Financial Highlight 표 없음,1,K이노베이션,1.09,2026-08-22
237690,에스티팜,실패: Financial Highlight 표 없음,1,K바이오,1.08,2026-08-22
175330,JB금융지주,실패: Financial Highlight 표 없음,1,Korea플러스배당,1.07,2026-08-22
051910,LG화학,실패: Financial Highlight 표 없음,1,K신재생에너지,1.05,2026-08-22
010170,대한광통신,실패: Financial Highlight 표 없음,1,코스닥,1.02,2026-08-22
005387,현대차2우B,실패: Financial Highlight 표 없음,1,Korea플러스배당,1.01,2026-08-22
131290,티에스이,실패: Financial Highlight 표 없음,1,코스닥,0.95,2026-08-22
100790,미래에셋벤처투자,실패: Financial Highlight 표 없음,1,코스닥,0.91,2026-08-22
323280,태성,실패: Financial Highlight 표 없음,1,코스닥,0.91,2026-08-22
010130,고려아연,실패: Financial Highlight 표 없음,1,K신재생에너지,0.84,2026-08-22
417200,LS머트리얼즈,실패: Financial Highlight 표 없음,1,코스닥,0.78,2026-08-22
011070,LG이노텍,실패: Financial Highlight 표 없음,1,코리아밸류업,0.74,2026-08-22
181710,NHN,실패: Financial Highlight 표 없음,1,코스피,0.68,2026-08-22
218410,RFHIC,실패: Financial Highlight 표 없음,1,코스닥,0.66,2026-08-22
089010,켐트로닉스,실패: Financial Highlight 표 없음,1,코스닥,0.62,2026-08-22
452280,한선엔지니어링,실패: Financial Highlight 표 없음,1,코스닥,0.61,2026-08-22
033640,네패스,실패: Financial Highlight 표 없음,1,코스닥,0.6,2026-08-22
099320,쎄트렉아이,실패: Financial Highlight 표 없음,1,코스닥,0.59,2026-08-22
077360,덕산하이메탈,실패: Financial Highlight 표 없음,1,코스닥,0.57,2026-08-22
189300,인텔리안테크,실패: Financial Highlight 표 없음,1,코스닥,0.54,2026-08-22
448900,한국피아이엠,실패: Financial Highlight 표 없음,1,코스닥,0.5,2026-08-22
327260,RF머트리얼즈,실패: Financial Highlight 표 없음,1,코스닥,0.47,2026-08-22
080580,오킨스전자,실패: Financial Highlight 표 없음,1,코스닥,0.46,2026-08-22
0009K0,에임드바이오,실패: Financial Highlight 표 없음,1,K바이오,0.4,2026-08-22
139130,iM금융지주,실패: Financial Highlight 표 없음,1,Korea플러스배당,0.4,2026-08-22
295310,에이치브이엠,실패: Financial Highlight 표 없음,1,코스닥,0.4,2026-08-22
174900,앱클론,실패: Financial Highlight 표 없음,1,K바이오,0.37,2026-08-22
030200,KT,실패: Financial Highlight 표 없음,1,Korea플러스배당,0.36,2026-08-22
393890,더블유씨피,실패: Financial Highlight 표 없음,1,코스닥,0.34,2026-08-22
332570,PS일렉트로닉스,실패: Financial Highlight 표 없음,1,코스닥,0.29,2026-08-22
0088M0,메쥬,실패: Financial Highlight 표 없음,1,코스닥,0.27,2026-08-22
475960,토모큐브,실패: Financial Highlight 표 없음,1,K바이오,0.27,2026-08-22
358570,지아이이노베이션,실패: Financial Highlight 표 없음,1,K바이오,0.15,2026-08-22
007390,네이처셀,실패: Financial Highlight 표 없음,1,K바이오,0.06,2026-08-22
