종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),EPS(FY2),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,PEG(영익)fwd,영익증가율fwd,fwd기준,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
REGN,Regeneron Pharmaceuticals,828.5,99.85,15530.0,82730.0,14.04,13.5,5.17,0.45,0.09,13.63,1.15,,FY 2026,FY 2025,16920.0,6100.0,4770.0,5347.243814121907,53.55,60.61,13.562295081967212,15.471521942110178,0.8599287777126351,0.23851929660753188,1.1600786271172465,0.9124691290266087,,1.1735127478753544,13.18394024276377,eps,36.05200945626478,25.80195258019526,17.991631799163187,64.86486486486487,840.43,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Regeneron Pharmaceuticals Inc,1,글로벌바이오,3.14,0.23851929660753188,통과,,,2026-08-25
TEVA,Teva Pharmaceutical,36.93,1170.0,17320.0,43030.0,9.69,15.21,7.92,,2.18,13.12,2.19,,FY 2026,FY 2025,16580.0,3980.0,1140.0,3279.7256097560976,,,10.811557788944723,13.12,,,113.29116203702655,,,,,,24.004825090470447,22.885283893395133,-3.939745075318657,0.75949367088608,41.4,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Stocks Corporate Actions,Teva Pharmaceutical Industries Ltd,1,글로벌바이오,3.06,,탈락,"PEG매출>1,PEG산출불가,ROE<10",기저효과(2y),2026-08-25
AMGN,Amgen,443.83,540.63,38100.0,239950.0,91.47,19.76,6.14,2.27,4.9,18.93,3.64,,FY 2026,FY 2025,38940.0,16960.0,8600.0,12456.228736227835,23.04,24.4,14.147995283018869,19.26345486111111,3.2325660554604236,0.413503103419398,4.19811045593577,3.380475991661814,,3.2634558823529467,5.902777777777768,eps,43.55418592706729,31.482993197278912,5.959183673469393,46.58599827139154,388.48,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Amgen Inc,1,글로벌바이오,3.0,0.413503103419398,탈락,PEG매출>1,,2026-08-25
JPM,JPMorgan Chase,356.15,2660.0,186330.0,947350.0,17.79,,3.98,1.68,,14.77,1.46,,FY 2026,FY 2025,207980.0,99720.0,67530.0,64397.98820721606,24.21,25.01,9.500100280786201,14.710863279636513,1.051311008762116,0.9891944549227306,1.8163807677549118,1.1686129725278473,,4.4518749999999825,3.304419661296998,eps,47.946917972882005,47.58015894765689,13.992874760208274,14.871558576200904,374.57,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,JPMorgan Chase & Co,1,미국S&P500,2.99,0.9891944549227306,탈락,PEG매출>1,,2026-08-25
MEDP,Medpace Holdings,620.03,27.91,2780.0,17310.0,162.15,573.33,10.49,,0.33,33.88,2.65,,FY 2026,FY 2025,2850.0,599.94,502.56,494.14867022563425,17.7,19.31,28.85288528852885,35.02994350282486,2.7695549081920916,2.8829104580617106,3.7122885760780164,2.8212766605982558,,3.8511180124223654,9.0960451977401,eps,21.050526315789476,21.143873517786563,12.648221343873512,12.150895427524588,581.83,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Medpace Holdings Inc,1,글로벌바이오,2.93,2.8829104580617106,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-25
CAT,Caterpillar,811.02,459.67,74730.0,372810.0,56.97,18.3,11.76,0.8,2.33,28.21,1.55,,FY 2026,FY 2025,79160.0,15110.0,12400.0,12549.27498705334,27.3,32.28,24.673064195896757,29.707692307692305,1.7354735722358885,1.0428730195177953,2.1200093257821497,0.9857104572912995,,1.6285542168674696,18.241758241758244,eps,19.087923193532085,17.399023524189968,17.117916851605266,28.486394557823136,979.22,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Caterpillar Inc,1,미국S&P500,2.89,1.0428730195177953,탈락,"PEG매출>1,PEG영익>1",,2026-08-25
CRS,Carpenter Technology,477.1,49.56,3120.0,23640.0,25.75,22.32,11.09,0.17,0.33,35.67,1.67,,FY 2027,FY 2026,3480.0,877.98,670.88,662.9704464472857,13.38,15.88,26.925442492995284,35.657698056801195,3.0903338315894358,1.3609315634253127,3.259375698578842,1.659732080166065,,1.9083999999999997,18.68460388639761,eps,25.22931034482759,22.298076923076923,11.538461538461542,26.200948684777913,625.88,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Carpenter Technology Corp,1,글로벌우주테크&방산,2.87,1.3609315634253127,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-25
TDG,TransDigm Group,1199.08,55.28,10010.0,66280.0,,15.42,7.61,7.51,,25.75,1.67,-14.87,FY 2026,FY 2025,10500.0,4880.0,2100.0,2276.8065516896286,41.19,48.4,13.581967213114755,29.11094925952901,1.5392196524649175,1.7980292189709084,2.012010309113032,2.0994632718611763,,1.6630790568654648,17.504248604030103,eps,46.476190476190474,47.56511891279728,18.9127972819932,16.1904761904762,1523.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,TransDigm Group Inc,1,글로벌우주테크&방산,2.83,1.7980292189709084,탈락,"PEG매출>1,PEG영익>1,ROE<10",,2026-08-25
TGT,Target,169.89,454.29,107710.0,77180.0,26.41,13.27,8.04,2.73,1.07,18.29,3.13,,FY 2027,FY 2026,109970.0,6360.0,4580.0,4588.368944611219,10.1,9.5,12.135220125786164,16.82079207920792,3.3959202197676364,0.5851740343048389,4.0926097136362545,1.398851166017949,,,-5.940594059405935,eps,5.783395471492225,4.714640198511166,4.95323535025769,28.744939271255056,161.62,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Target Corp,1,글로벌소비트렌드,2.73,0.5851740343048389,탈락,"PEG매출>1,이익률<10,전년이익률<5",,2026-08-25
EXEL,Exelixis,54.56,247.78,2440.0,13520.0,44.39,66.0,6.49,,0.09,15.54,1.47,,FY 2026,FY 2025,2550.0,1030.0,820.64,887.1260997067449,3.58,4.16,13.12621359223301,15.240223463687151,1.53727471459801,0.9908920237460696,1.357872756214157,0.9397428245166619,,0.9406896551724133,16.201117318435763,eps,40.3921568627451,38.47844827586207,9.913793103448265,15.380306934020371,53.0,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Exelixis Inc,1,글로벌바이오,2.66,0.9908920237460696,탈락,PEG매출>1,,2026-08-25
HONA,Honeywell Aerospace,161.2,316.95,17920.0,51090.0,,18.31,,,,19.49,,,FY 2026,FY 2025,18320.0,4360.0,2190.0,2472.0967741935488,7.8,9.11,11.71788990825688,20.666666666666664,3.9086956521739156,0.9635497835497829,3.035441644047423,,,1.230534351145039,16.79487179487178,eps,23.799126637554586,20.632183908045974,5.287356321839076,21.448467966573826,218.38,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Honeywell Aerospace Inc,1,글로벌우주테크&방산,2.65,0.9635497835497829,탈락,"PEG매출>1,ROE<10",,2026-08-25
