종목코드,기업,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
263750,펄어비스,실패: 기업실적분석 표 없음,1,K컬처,6.12,엔터·게임·콘텐츠,게임,펄어비스,,보류,컨센서스 없음,,2026-09-11
336260,두산퓨얼셀,실패: 기업실적분석 표 없음,1,K신재생에너지,6.09,2차전지·에너지,수소,두산퓨얼셀,,보류,컨센서스 없음,,2026-09-11
036930,주성엔지니어링,실패: 기업실적분석 표 없음,1,코스닥,6.03,반도체,전공정 장비,주성엔지니어링,,보류,컨센서스 없음,,2026-09-11
122870,와이지엔터테인먼트,실패: 기업실적분석 표 없음,1,K컬처,5.35,엔터·게임·콘텐츠,엔터,와이지엔터테인먼트,,보류,컨센서스 없음,,2026-09-11
041510,에스엠,실패: 기업실적분석 표 없음,1,K컬처,5.02,엔터·게임·콘텐츠,엔터,에스엠,,보류,컨센서스 없음,,2026-09-11
022100,포스코DX,실패: 기업실적분석 표 없음,1,K신재생에너지,4.98,로봇·산업재,산업자동화·IT,포스코DX,,보류,컨센서스 없음,,2026-09-11
475830,오름테라퓨틱,실패: 기업실적분석 표 없음,1,K바이오,4.85,바이오·헬스케어,신약·플랫폼,오름테라퓨틱,,보류,컨센서스 없음,,2026-09-11
058610,에스피지,실패: 기업실적분석 표 없음,1,코스닥,4.55,로봇·산업재,로봇,에스피지,,보류,컨센서스 없음,,2026-09-11
352820,하이브,실패: 기업실적분석 표 없음,1,K컬처,4.36,엔터·게임·콘텐츠,엔터,하이브,,보류,컨센서스 없음,,2026-09-11
403870,HPSP,실패: 기업실적분석 표 없음,1,코스닥,4.32,반도체,전공정 장비,HPSP,,보류,컨센서스 없음,,2026-09-11
068760,셀트리온제약,실패: 기업실적분석 표 없음,1,K바이오,4.27,바이오·헬스케어,바이오시밀러·CDMO,셀트리온제약,,보류,컨센서스 없음,,2026-09-11
