종목코드,기업,현재가,시총(억),네이버업종,순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,PEG(영익)fwd,영익증가율fwd,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
005830,DB손해보험,186700.0,122289.151583,손해보험,20510.0,,,5.962415971867382,,,,,,,,,,,,,,5.8,2026.12(E),10.343675562632605,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",3.51,금융,보험,DB손해보험,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
071050,한국금융지주,191200.0,106548.096704,증권,30964.0,40460.0,2.6334181093425606,3.441031414029195,3.83,0.029742799625518394,0.047452525285603994,0.06706428523509195,0.04113903858268469,0.13137220969884894,0.04900645539720224,,,9.636316002572224,23.4,115.69292256795146,72.51524325246237,5.37,2026.12(E),12.048124688561138,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",2.98,금융,증권,한국금융지주,0.047452525285603994,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
078930,GS,127700.0,118627.547115,석유와가스,29876.0,51701.0,2.294492313785033,3.9706636469072163,4.58,0.2875807843957093,0.05218561116241844,0.6070313101739387,0.1340540157014878,1.192319769263642,0.34292315331630746,,,18.038609553648996,15.93,13.807124336386845,76.08732672592895,5.33,2026.12(E),11.658546463840281,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",2.77,지주·소재,지주,GS,0.05218561116241844,통과,,,2026-08-26
010120,LS ELECTRIC,201500.0,302250.0,전기장비,5337.0,7140.0,42.331932773109244,56.63293985385048,54.46,1.8128527862196269,0.839648315496587,2.88115821872291,1.601701247836492,3.6554788538422187,1.8870212587483666,,,10.955793220911142,23.68,31.23967940714487,67.44840525328331,0.65,2026.12(E),8.586733255467397,2025.12,,3,"K신재생에너지,K이노베이션,코스피",2.66,AI·전력인프라,변압기·전력기기,LS ELECTRIC,0.839648315496587,탈락,"PEG매출>1,fPER>30",,2026-08-26
356860,티엘비,39150.0,9279.0,반도체와반도체장비,453.0,568.0,16.336267605633804,20.483443708609272,19.05,0.4740349327372871,0.17291218715059778,0.4718509845863607,0.06634780058572053,0.6993696520902078,0.12300321836683256,,,15.343057806591032,24.42,43.21083172147002,118.46153846153844,0.72,2026.12(E),10.058027079303674,2025.12,,3,"K이노베이션,코리아밸류업,코스닥",2.22,반도체,기판·PCB,티엘비,0.17291218715059778,통과,,,2026-08-26
033780,KT&G,174700.0,181356.866632,담배,13496.0,15328.0,11.831737123695198,13.437823550088915,13.98,2.165487328251773,0.9548600478188504,1.5358595022698978,0.9916981582106748,2.2292063457787665,1.4137491841104148,,,21.934745277618774,14.25,6.205450096508969,14.073081789089837,4.22,2026.12(E),20.42190373421281,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",1.53,소비재·식품,담배·기호,KT&G,0.9548600478188504,탈락,PEG매출>1,,2026-08-26
035420,NAVER,220000.0,334568.2802,양방향미디어와서비스,19671.0,22171.0,15.09035587930179,17.008198881602357,17.58,1.1653496927986582,41.72867105607432,1.2758032749858768,2.9139439072695295,1.3541016577327685,1.1981257465821324,,,16.075843816843708,6.78,14.594931449937686,0.407590235949451,1.08,2026.12(E),18.34732031574574,2025.12,,2,"K이노베이션,코스피",9.06,인터넷·통신,플랫폼,NAVER,41.72867105607432,탈락,"PEG매출>1,PEG영익>1,ROE<10",,2026-08-26
036570,NC,226500.0,48797.20983,게임엔터테인먼트,4913.0,5281.0,9.240145773527741,9.932263348259719,10.27,0.11754439361888455,,0.3034558177040136,,0.619625493027858,0.1752321668013884,,,18.995036328321703,13.16,84.49797597717168,3180.1242236024846,0.57,2026.12(E),1.0684186077377398,2025.12,기저효과→PEG(영익)fwd 기준,2,"K이노베이션,K컬처",8.13,엔터·게임·콘텐츠,게임,NC,,탈락,"PEG산출불가,전년이익률<5",기저효과(2y),2026-08-26
145020,휴젤,250500.0,31350.508365,생물공학,1809.0,2192.0,14.30223921760949,17.330297603648425,17.66,0.6525340576891894,1.9025446932092733,0.8622784276006279,1.1675688638911759,0.9147642364464512,0.7535532923457691,,,40.74349442379182,16.81,26.558456833686183,9.109009457441509,,2026.12(E),47.259468360385796,2025.12,,2,"K바이오,K컬처",7.14,바이오·헬스케어,미용의료·의료기기,휴젤,1.9025446932092733,탈락,PEG영익>1,,2026-08-26
298380,에이비엘바이오,74600.0,41766.647398,생물공학,-706.0,-750.0,,,-59.5,,,,,,,,,-286.25954198473283,-52.23,-66.9609079445145,,,2026.12(E),-50.945775535939475,2025.12,기저효과→PEG(영익)fwd 기준,2,"K바이오,코스닥",6.89,바이오·헬스케어,신약·플랫폼,에이비엘바이오,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-26
